Survived,new_initials,Pclass,Age,SibSp,Parch,Fare,Cabin,initials,female,male,Embarked_enc
0, Mr,3,30.707422907488983,0,0,7.8958,0, Mr,0.0,1.0,2
0, Mr,1,21.0,0,1,77.2875,1, Mr,0.0,1.0,2
0, Mr,3,33.0,0,0,8.6542,0, Mr,0.0,1.0,2
0, Mr,3,37.0,2,0,7.925,0, Mr,0.0,1.0,2
0, Mr,3,28.0,0,0,7.8958,0, Mr,0.0,1.0,2
1, Miss,3,21.0,0,0,7.65,0, Miss,1.0,0.0,2
1, Mr,3,30.707422907488983,0,0,7.775,0, Mr,0.0,1.0,2
0, Mr,3,38.0,0,0,7.8958,0, Mr,0.0,1.0,2
1, Miss,3,27.77906976744186,1,0,24.15,0, Miss,1.0,0.0,1
0, Mr,1,47.0,0,0,52.0,1, Mr,0.0,1.0,2
0, Miss,3,14.5,1,0,14.4542,0, Miss,1.0,0.0,0
0, Mr,3,22.0,0,0,8.05,0, Mr,0.0,1.0,2
0, Miss,3,20.0,1,0,9.825,0, Miss,1.0,0.0,2
0, Miss,3,17.0,0,0,14.4583,0, Miss,1.0,0.0,0
0, Mr,3,21.0,0,0,7.925,0, Mr,0.0,1.0,2
0, Mr,3,70.5,0,0,7.75,0, Mr,0.0,1.0,1
0, Mr,2,29.0,1,0,21.0,0, Mr,0.0,1.0,2
0, Miss,3,2.0,4,2,31.275,0, Miss,1.0,0.0,2
0, Mr,2,21.0,2,0,73.5,0, Mr,0.0,1.0,2
0, Mr,3,30.707422907488983,0,0,8.05,0, Mr,0.0,1.0,2
0, Mr,2,32.5,1,0,30.0708,0, Mr,0.0,1.0,0
1, Miss,2,32.5,0,0,13.0,1, Miss,1.0,0.0,2
0, Mr,1,54.0,0,1,77.2875,1, Mr,0.0,1.0,2
1, Master,3,12.0,1,0,11.2417,0, Master,0.0,1.0,0
0, Mr,3,30.707422907488983,0,0,7.75,0, Mr,0.0,1.0,1
1, Mr,3,24.0,0,0,7.1417,0, Mr,0.0,1.0,2
1, Miss,3,27.77906976744186,1,1,22.3583,1, Miss,1.0,0.0,0
0, Mr,3,45.0,0,0,6.975,0, Mr,0.0,1.0,2
0, Mr,3,33.0,0,0,7.8958,0, Mr,0.0,1.0,0
0, Mr,3,20.0,0,0,7.05,0, Mr,0.0,1.0,2
0, Mrs,3,47.0,1,0,14.5,0, Mrs,1.0,0.0,2
1, Mrs,2,29.0,1,0,26.0,0, Mrs,1.0,0.0,2
0, Mr,2,25.0,0,0,13.0,0, Mr,0.0,1.0,2
0, Mr,2,23.0,0,0,15.0458,0, Mr,0.0,1.0,0
1, Miss,1,19.0,0,2,26.2833,1, Miss,1.0,0.0,2
0, Mr,1,37.0,1,0,53.1,1, Mr,0.0,1.0,2
0, Mr,3,16.0,0,0,9.2167,0, Mr,0.0,1.0,2
0, Mr,1,24.0,0,0,79.2,1, Mr,0.0,1.0,0
0, Mrs,3,27.77906976744186,0,2,15.2458,0, Mrs,1.0,0.0,0
1, Miss,3,22.0,0,0,7.75,0, Miss,1.0,0.0,2
1, Mrs,3,24.0,1,0,15.85,0, Mrs,1.0,0.0,2
0, Mr,3,19.0,0,0,6.75,0, Mr,0.0,1.0,1
0, Mr,2,18.0,0,0,11.5,0, Mr,0.0,1.0,2
0, Mr,2,19.0,1,1,36.75,0, Mr,0.0,1.0,2
1, Mr,3,27.0,0,0,7.7958,0, Mr,0.0,1.0,2
0, Miss,3,9.0,2,2,34.375,0, Miss,1.0,0.0,2
0, Mr,2,36.5,0,2,26.0,1, Mr,0.0,1.0,2
0, Rev,2,42.0,0,0,13.0,0, Rev,0.0,1.0,2
0, Rev,2,51.0,0,0,12.525,0, Rev,0.0,1.0,2
1, Mrs,1,22.0,1,0,66.6,1, Mrs,1.0,0.0,2
0, Mr,3,55.5,0,0,8.05,0, Mr,0.0,1.0,2
0, Mr,3,40.5,0,2,14.5,0, Mr,0.0,1.0,2
0, Mr,3,30.707422907488983,0,0,7.3125,0, Mr,0.0,1.0,2
0, Mr,1,51.0,0,1,61.3792,0, Mr,0.0,1.0,0
1, Miss,3,16.0,0,0,7.7333,0, Miss,1.0,0.0,1
0, Mr,3,30.0,0,0,8.05,0, Mr,0.0,1.0,2
0, Mr,3,30.707422907488983,0,0,8.6625,0, Mr,0.0,1.0,2
0, Master,3,30.707422907488983,8,2,69.55,0, Master,0.0,1.0,2
0, Mr,3,44.0,0,1,16.1,0, Mr,0.0,1.0,2
1, Mrs,2,40.0,0,0,15.75,0, Mrs,1.0,0.0,2
0, Mr,3,26.0,0,0,7.775,0, Mr,0.0,1.0,2
0, Mr,3,17.0,0,0,8.6625,0, Mr,0.0,1.0,2
0, Master,3,1.0,4,1,39.6875,0, Master,0.0,1.0,2
1, Master,3,9.0,0,2,20.525,0, Master,0.0,1.0,2
1, Mrs,1,27.77906976744186,0,1,55.0,1, Mrs,1.0,0.0,2
0, Mrs,3,45.0,1,4,27.9,0, Mrs,1.0,0.0,2
0, Mr,1,30.707422907488983,0,0,25.925,0, Mr,0.0,1.0,2
0, Mr,3,28.0,0,0,56.4958,0, Mr,0.0,1.0,2
0, Mr,1,61.0,0,0,33.5,1, Mr,0.0,1.0,2
0, Master,3,4.0,4,1,29.125,0, Master,0.0,1.0,1
1, Miss,3,1.0,1,1,11.1333,0, Miss,1.0,0.0,2
0, Mr,3,21.0,0,0,7.925,0, Mr,0.0,1.0,2
0, Mr,1,56.0,0,0,30.6958,1, Mr,0.0,1.0,0
0, Mr,3,18.0,1,1,7.8542,0, Mr,0.0,1.0,2
0, Master,3,30.707422907488983,3,1,25.4667,0, Master,0.0,1.0,2
0, Miss,1,50.0,0,0,28.7125,1, Miss,1.0,0.0,0
0, Mr,2,30.0,0,0,13.0,0, Mr,0.0,1.0,2
0, Mr,3,36.0,0,0,0.0,0, Mr,0.0,1.0,2
0, Miss,3,27.77906976744186,8,2,69.55,0, Miss,1.0,0.0,2
0, Mr,2,30.707422907488983,0,0,15.05,0, Mr,0.0,1.0,0
0, Master,3,9.0,4,2,31.3875,0, Master,0.0,1.0,2
1, Master,2,1.0,2,1,39.0,1, Master,0.0,1.0,2
1, Miss,3,4.0,0,2,22.025,0, Miss,1.0,0.0,2
0, Mr,1,30.707422907488983,0,0,50.0,1, Mr,0.0,1.0,2
1, Mrs,3,27.77906976744186,1,0,15.5,0, Mrs,1.0,0.0,1
1, Mr,1,45.0,0,0,26.55,0, Mr,0.0,1.0,2
0, Mr,3,40.0,1,1,15.5,0, Mr,0.0,1.0,1
0, Mr,3,36.0,0,0,7.8958,0, Mr,0.0,1.0,2
1, Mrs,2,32.0,0,0,13.0,0, Mrs,1.0,0.0,2
0, Mr,2,19.0,0,0,13.0,0, Mr,0.0,1.0,2
1, Miss,3,19.0,1,0,7.8542,0, Miss,1.0,0.0,2
1, Master,2,3.0,1,1,26.0,1, Master,0.0,1.0,2
1, Mrs,1,44.0,0,0,27.7208,1, Mrs,1.0,0.0,0
1, Miss,1,58.0,0,0,146.5208,1, Miss,1.0,0.0,0
0, Mr,3,30.707422907488983,0,0,7.75,0, Mr,0.0,1.0,1
0, Mr,3,42.0,0,1,8.4042,0, Mr,0.0,1.0,2
1, Miss,3,27.77906976744186,0,0,7.75,0, Miss,1.0,0.0,1
0, Miss,2,24.0,0,0,13.0,0, Miss,1.0,0.0,2
0, Mr,3,28.0,0,0,9.5,0, Mr,0.0,1.0,2
0, Mr,3,30.707422907488983,8,2,69.55,0, Mr,0.0,1.0,2
0, Mr,3,34.0,0,0,6.4958,0, Mr,0.0,1.0,2
0, Mr,3,45.5,0,0,7.225,0, Mr,0.0,1.0,0
1, Mr,3,18.0,0,0,8.05,0, Mr,0.0,1.0,2
0, Miss,3,2.0,0,1,10.4625,1, Miss,1.0,0.0,2
0, Mr,3,32.0,1,0,15.85,0, Mr,0.0,1.0,2
1, Mr,3,26.0,0,0,18.7875,0, Mr,0.0,1.0,0
1, Miss,3,16.0,0,0,7.75,0, Miss,1.0,0.0,1
1, Mr,1,40.0,0,0,31.0,1, Mr,0.0,1.0,0
0, Mr,3,24.0,0,0,7.05,0, Mr,0.0,1.0,2
1, Miss,2,35.0,0,0,21.0,0, Miss,1.0,0.0,2
0, Mr,3,22.0,0,0,7.25,0, Mr,0.0,1.0,2
0, Mr,2,30.0,0,0,13.0,0, Mr,0.0,1.0,2
0, Mr,3,30.707422907488983,1,0,7.75,0, Mr,0.0,1.0,1
1, Miss,1,31.0,1,0,113.275,1, Miss,1.0,0.0,0
1, Miss,3,27.0,0,0,7.925,0, Miss,1.0,0.0,2
0, Mr,2,42.0,1,0,27.0,0, Mr,0.0,1.0,2
1, Miss,1,32.0,0,0,76.2917,1, Miss,1.0,0.0,0
0, Mr,2,30.0,0,0,10.5,0, Mr,0.0,1.0,2
1, Mr,3,16.0,0,0,8.05,0, Mr,0.0,1.0,2
0, Mr,2,27.0,0,0,13.0,0, Mr,0.0,1.0,2
0, Mr,3,51.0,0,0,8.05,0, Mr,0.0,1.0,2
0, Mr,3,30.707422907488983,0,0,7.8958,0, Mr,0.0,1.0,2
1, Mr,1,38.0,1,0,90.0,1, Mr,0.0,1.0,2
0, Mr,3,22.0,0,0,9.35,0, Mr,0.0,1.0,2
1, Mr,2,19.0,0,0,10.5,0, Mr,0.0,1.0,2
0, Mr,3,20.5,0,0,7.25,0, Mr,0.0,1.0,2
0, Mr,2,18.0,0,0,13.0,0, Mr,0.0,1.0,2
0, Miss,3,27.77906976744186,3,1,25.4667,0, Miss,1.0,0.0,2
1, Mrs,1,35.0,1,0,83.475,1, Mrs,1.0,0.0,2
0, Mr,3,29.0,0,0,7.775,0, Mr,0.0,1.0,2
0, Mr,2,59.0,0,0,13.5,0, Mr,0.0,1.0,2
1, Miss,3,5.0,4,2,31.3875,0, Miss,1.0,0.0,2
0, Mr,2,24.0,0,0,10.5,0, Mr,0.0,1.0,2
0, Miss,3,27.77906976744186,0,0,7.55,0, Miss,1.0,0.0,2
0, Mr,2,44.0,1,0,26.0,0, Mr,0.0,1.0,2
1, Miss,2,8.0,0,2,26.25,0, Miss,1.0,0.0,2
0, Mr,2,19.0,0,0,10.5,0, Mr,0.0,1.0,2
0, Mr,2,33.0,0,0,12.275,0, Mr,0.0,1.0,2
0, Miss,3,27.77906976744186,1,0,14.4542,0, Miss,1.0,0.0,0
1, Miss,3,27.77906976744186,1,0,15.5,0, Miss,1.0,0.0,1
0, Mr,2,29.0,0,0,10.5,0, Mr,0.0,1.0,2
0, Mr,3,22.0,0,0,7.125,0, Mr,0.0,1.0,2
0, Mr,3,30.0,0,0,7.225,0, Mr,0.0,1.0,0
0, Dr,1,44.0,2,0,90.0,1, Dr,0.0,1.0,1
0, Miss,3,25.0,0,0,7.775,0, Miss,1.0,0.0,2
1, Mrs,2,24.0,0,2,14.5,0, Mrs,1.0,0.0,2
1, Mr,1,37.0,1,1,52.5542,1, Mr,0.0,1.0,2
0, Rev,2,54.0,1,0,26.0,0, Rev,0.0,1.0,2
0, Mr,3,30.707422907488983,0,0,7.25,0, Mr,0.0,1.0,2
0, Mrs,3,29.0,1,1,10.4625,1, Mrs,1.0,0.0,2
0, Mr,1,62.0,0,0,26.55,1, Mr,0.0,1.0,2
0, Mr,3,30.0,1,0,16.1,0, Mr,0.0,1.0,2
0, Mrs,3,41.0,0,2,20.2125,0, Mrs,1.0,0.0,2
1, Mrs,3,29.0,0,2,15.2458,0, Mrs,1.0,0.0,0
1, Mrs,1,27.77906976744186,0,0,79.2,0, Mrs,1.0,0.0,0
1, Miss,1,30.0,0,0,86.5,1, Miss,1.0,0.0,2
1, Mrs,2,50.0,0,1,26.0,0, Mrs,1.0,0.0,2
0, Mr,3,30.707422907488983,0,0,7.75,0, Mr,0.0,1.0,1
1, Master,3,3.0,4,2,31.3875,0, Master,0.0,1.0,2
0, Mr,1,52.0,1,1,79.65,1, Mr,0.0,1.0,2
0, Mr,1,40.0,0,0,0.0,1, Mr,0.0,1.0,2
0, Miss,3,27.77906976744186,0,0,7.75,0, Miss,1.0,0.0,1
0, Mr,2,36.0,0,0,10.5,0, Mr,0.0,1.0,2
0, Mr,3,16.0,4,1,39.6875,0, Mr,0.0,1.0,2
1, Mr,3,25.0,1,0,7.775,0, Mr,0.0,1.0,2
1, Mrs,1,58.0,0,1,153.4625,1, Mrs,1.0,0.0,2
1, Miss,1,35.0,0,0,135.6333,1, Miss,1.0,0.0,2
0, Mr,1,30.707422907488983,0,0,31.0,0, Mr,0.0,1.0,2
1, Mr,3,25.0,0,0,0.0,0, Mr,0.0,1.0,2
1, Mrs,2,41.0,0,1,19.5,0, Mrs,1.0,0.0,2
0, Mr,1,37.0,0,1,29.7,1, Mr,0.0,1.0,0
1, Miss,3,27.77906976744186,0,0,7.75,0, Miss,1.0,0.0,1
1, Miss,1,63.0,1,0,77.9583,1, Miss,1.0,0.0,2
0, Miss,3,45.0,0,0,7.75,0, Miss,1.0,0.0,2
0, Mr,2,30.707422907488983,0,0,0.0,0, Mr,0.0,1.0,2
0, Master,3,7.0,4,1,29.125,0, Master,0.0,1.0,1
1, Mrs,3,35.0,1,1,20.25,0, Mrs,1.0,0.0,2
0, Mr,3,65.0,0,0,7.75,0, Mr,0.0,1.0,1
0, Mr,3,28.0,0,0,7.8542,0, Mr,0.0,1.0,2
0, Mr,3,16.0,0,0,9.5,0, Mr,0.0,1.0,2
1, Mr,3,19.0,0,0,8.05,0, Mr,0.0,1.0,2
0, Mr,1,30.707422907488983,0,0,26.0,1, Mr,0.0,1.0,2
0, Mr,3,33.0,0,0,8.6625,0, Mr,0.0,1.0,0
1, Mr,3,30.0,0,0,9.5,0, Mr,0.0,1.0,2
0, Mr,3,22.0,0,0,7.8958,0, Mr,0.0,1.0,2
1, Mr,2,42.0,0,0,13.0,0, Mr,0.0,1.0,2
1, Miss,3,22.0,0,0,7.75,0, Miss,1.0,0.0,1
1, Miss,1,26.0,0,0,78.85,0, Miss,1.0,0.0,2
1, Mrs,1,19.0,1,0,91.0792,1, Mrs,1.0,0.0,0
0, Mr,2,36.0,0,0,12.875,1, Mr,0.0,1.0,0
0, Miss,3,24.0,0,0,8.85,0, Miss,1.0,0.0,2
0, Mr,3,24.0,0,0,7.8958,0, Mr,0.0,1.0,2
0, Mr,1,30.707422907488983,0,0,27.7208,0, Mr,0.0,1.0,0
0, Mr,3,23.5,0,0,7.2292,0, Mr,0.0,1.0,0
0, Miss,1,2.0,1,2,151.55,1, Miss,1.0,0.0,2
1, Mr,1,30.707422907488983,0,0,30.5,1, Mr,0.0,1.0,2
1, Miss,3,27.77906976744186,0,0,7.75,0, Miss,1.0,0.0,1
1, Mr,3,30.707422907488983,2,0,23.25,0, Mr,0.0,1.0,1
0, Mr,3,19.0,0,0,0.0,0, Mr,0.0,1.0,2
1, Miss,2,27.77906976744186,0,0,12.35,1, Miss,1.0,0.0,1
0, Mr,3,30.707422907488983,0,0,8.05,0, Mr,0.0,1.0,2
1, Master,1,0.92,1,2,151.55,1, Master,0.0,1.0,2
1, Miss,1,27.77906976744186,0,0,110.8833,0, Miss,1.0,0.0,0
1, Mrs,1,17.0,1,0,108.9,1, Mrs,1.0,0.0,0
0, Mr,2,30.0,1,0,24.0,0, Mr,0.0,1.0,0
1, Miss,1,30.0,0,0,56.9292,1, Miss,1.0,0.0,0
1, Miss,1,24.0,0,0,83.1583,1, Miss,1.0,0.0,0
0, Mrs,2,26.0,1,1,26.0,0, Mrs,1.0,0.0,2
0, Mr,3,28.0,0,0,7.8958,0, Mr,0.0,1.0,2
0, Mr,2,43.0,1,1,26.25,0, Mr,0.0,1.0,2
1, Miss,3,26.0,0,0,7.8542,0, Miss,1.0,0.0,2
1, Mrs,2,24.0,1,0,26.0,0, Mrs,1.0,0.0,2
0, Dr,2,54.0,0,0,14.0,0, Dr,0.0,1.0,2
1, Mrs,1,40.0,1,1,134.5,1, Mrs,1.0,0.0,0
0, Mr,3,22.0,0,0,7.25,0, Mr,0.0,1.0,2
0, Mr,3,27.0,0,0,7.8958,0, Mr,0.0,1.0,2
1, Miss,2,30.0,0,0,12.35,0, Miss,1.0,0.0,1
1, Mrs,2,22.0,1,1,29.0,0, Mrs,1.0,0.0,2
0, Mr,3,30.707422907488983,8,2,69.55,0, Mr,0.0,1.0,2
1, Miss,1,36.0,0,0,135.6333,1, Miss,1.0,0.0,0
0, Mr,3,61.0,0,0,6.2375,0, Mr,0.0,1.0,2
1, Mrs,2,36.0,0,0,13.0,1, Mrs,1.0,0.0,2
1, Mrs,3,31.0,1,1,20.525,0, Mrs,1.0,0.0,2
1, Miss,1,16.0,0,1,57.9792,1, Miss,1.0,0.0,0
1, Miss,3,27.77906976744186,2,0,23.25,0, Miss,1.0,0.0,1
0, Mr,1,45.5,0,0,28.5,1, Mr,0.0,1.0,2
0, Mr,1,38.0,0,1,153.4625,1, Mr,0.0,1.0,2
0, Mr,3,16.0,2,0,18.0,0, Mr,0.0,1.0,2
1, Mrs,1,27.77906976744186,1,0,133.65,0, Mrs,1.0,0.0,2
0, Mr,3,30.707422907488983,0,0,7.8958,0, Mr,0.0,1.0,2
0, Mr,1,29.0,1,0,66.6,1, Mr,0.0,1.0,2
1, Miss,1,41.0,0,0,134.5,1, Miss,1.0,0.0,0
1, Mr,3,45.0,0,0,8.05,0, Mr,0.0,1.0,2
0, Mr,1,45.0,0,0,35.5,1, Mr,0.0,1.0,2
1, Master,2,2.0,1,1,26.0,1, Master,0.0,1.0,2
0, Mr,2,28.0,0,0,13.0,0, Mr,0.0,1.0,2
0, Mr,2,25.0,0,0,13.0,0, Mr,0.0,1.0,2
0, Mr,2,36.0,0,0,13.0,0, Mr,0.0,1.0,2
1, Miss,2,24.0,0,0,13.0,1, Miss,1.0,0.0,2
1, Miss,2,40.0,0,0,13.0,0, Miss,1.0,0.0,2
1, Mrs,3,27.77906976744186,1,0,16.1,0, Mrs,1.0,0.0,2
1, Master,3,3.0,1,1,15.9,0, Master,0.0,1.0,2
0, Mr,3,42.0,0,0,8.6625,0, Mr,0.0,1.0,2
0, Mr,3,23.0,0,0,9.225,0, Mr,0.0,1.0,2
0, Mr,1,30.707422907488983,0,0,35.0,1, Mr,0.0,1.0,2
0, Mr,3,15.0,1,1,7.2292,0, Mr,0.0,1.0,0
0, Mr,3,25.0,1,0,17.8,0, Mr,0.0,1.0,2
0, Mr,3,30.707422907488983,0,0,7.225,0, Mr,0.0,1.0,0
0, Mr,3,28.0,0,0,9.5,0, Mr,0.0,1.0,2
1, Miss,1,22.0,0,1,55.0,1, Miss,1.0,0.0,2
0, Miss,2,38.0,0,0,13.0,0, Miss,1.0,0.0,2
1, Miss,3,27.77906976744186,0,0,7.8792,0, Miss,1.0,0.0,1
1, Miss,3,27.77906976744186,0,0,7.8792,0, Miss,1.0,0.0,1
0, Mr,3,40.0,1,4,27.9,0, Mr,0.0,1.0,2
0, Mr,2,29.0,1,0,27.7208,0, Mr,0.0,1.0,0
0, Mrs,3,45.0,0,1,14.4542,0, Mrs,1.0,0.0,0
0, Mr,3,35.0,0,0,7.05,0, Mr,0.0,1.0,2
0, Mr,3,30.707422907488983,1,0,15.5,0, Mr,0.0,1.0,1
0, Mr,3,30.0,0,0,7.25,0, Mr,0.0,1.0,2
1, Mrs,1,60.0,1,0,75.25,1, Mrs,1.0,0.0,0
1, Mrs,3,27.77906976744186,0,0,7.2292,0, Mrs,1.0,0.0,0
1, Miss,3,27.77906976744186,0,0,7.75,0, Miss,1.0,0.0,1
1, Mme,1,24.0,0,0,69.3,1, Mme,1.0,0.0,0
1, Mr,1,25.0,1,0,55.4417,1, Mr,0.0,1.0,0
0, Mr,3,18.0,1,0,6.4958,0, Mr,0.0,1.0,2
0, Mr,3,19.0,0,0,8.05,0, Mr,0.0,1.0,2
0, Mr,1,22.0,0,0,135.6333,0, Mr,0.0,1.0,0
0, Miss,3,3.0,3,1,21.075,0, Miss,1.0,0.0,2
1, Mrs,1,27.77906976744186,1,0,82.1708,0, Mrs,1.0,0.0,0
1, Miss,3,22.0,0,0,7.25,0, Miss,1.0,0.0,2
0, Mr,3,20.0,0,0,4.0125,0, Mr,0.0,1.0,0
0, Mr,3,19.0,0,0,7.775,0, Mr,0.0,1.0,2
1, Miss,3,1.0,0,2,15.7417,0, Miss,1.0,0.0,0
0, Mr,3,32.0,0,0,7.925,0, Mr,0.0,1.0,2
